fold,best_epoch,best_val_acc,best_val_f1,early_stopped,training_time
1,8,0.8941717791411042,0.8931142571920999,True,605.1390907764435
2,4,0.8803680981595092,0.880558748930197,True,253.55379724502563
3,6,0.901689708141321,0.9015579821612104,True,301.9730043411255
4,8,0.8878648233486943,0.888701399079214,True,361.14708852767944
5,12,0.8786482334869432,0.8802509022980568,True,464.9282479286194
