fold,best_epoch,test_accuracy,test_precision,test_recall,test_f1,early_stopped,training_time
1,7,0.9086294416243654,0.9071531624918637,0.9086294416243654,0.906132011878222,True,978.1206178665161
2,8,0.8907242693773825,0.8900412023839702,0.8907242693773825,0.8903235421491372,True,810.6081182956696
3,4,0.8831003811944091,0.880672622449372,0.8831003811944091,0.8801010411417857,True,515.3979377746582
4,5,0.9021601016518425,0.9048875260024822,0.9021601016518425,0.9023264550749512,True,579.5105957984924
5,2,0.8792884371029225,0.8868315637585336,0.8792884371029225,0.8820930374758816,True,389.158789396286
