class_name,f1_score,precision,recall,sensitivity,specificity
GNB,0.8723404255319149,0.9318181818181818,0.82,0.82,0.98
GNC,0.8431372549019608,0.8269230769230769,0.86,0.86,0.94
GPB,0.9,0.9,0.9,0.9,0.9666666666666667
GPC,0.8653846153846154,0.8333333333333334,0.9,0.9,0.94
